Lineage,MIN(collection_date),数量
AY.34.1,2020-04-01,7860
AY.34.1.1,2021-07-19,2215
AY.34.2,2021-07-12,2029
AY.35,2020-11-03,1946
AY.36,2020-08-11,13322
AY.36.1,2021-04-12,3047
AY.37,2021-02-18,3570
AY.38,2021-03-18,1868
AY.39,2020-05-28,63238
AY.39.1,2021-01-06,24841
AY.39.1.1,2021-05-09,4706
AY.39.1.2,2021-06-25,7940
AY.39.1.3,2021-07-21,2369
AY.39.1.4,2021-07-11,3978
AY.39.2,2021-07-06,1837
AY.39.3,2021-08-07,104
AY.4,2020-05-11,851148
AY.4.1,2021-06-21,510
AY.4.10,2021-07-19,1894
AY.4.11,2021-06-23,1500
AY.4.12,2021-08-13,621
AY.4.13,2021-06-06,1609
AY.4.14,2021-07-14,790
AY.4.15,2021-07-01,2489
AY.4.16,2021-07-26,264
AY.4.17,2020-11-02,729
AY.4.2,2021-01-01,86398
AY.4.2.1,2020-12-21,18978
AY.4.2.2,2021-01-08,28994
AY.4.2.3,2021-05-27,5891
AY.4.2.4,2021-05-17,196
AY.4.2.5,2021-10-22,792
AY.4.3,2021-06-16,2126
AY.4.4,2021-01-19,3633
AY.4.5,2020-12-04,17042
AY.4.6,2020-06-11,13944
AY.4.7,2021-03-16,3763
AY.4.8,2021-05-24,4566
AY.4.9,2020-08-11,2483
AY.40,2021-05-06,1957
AY.41,2020-10-20,3842
AY.42,2020-10-15,30233
AY.42.1,2021-07-12,449
AY.43,2020-05-01,321627
AY.43.1,2021-07-19,1050
AY.43.2,2021-07-04,1375
AY.43.3,2021-07-12,2298
AY.43.4,2020-10-28,2771
AY.43.5,2021-10-22,354
AY.43.6,2021-08-31,6435
AY.43.7,2021-09-19,197
AY.43.8,2021-01-12,3926
AY.43.9,2021-08-14,936
AY.44,2020-05-20,259792
AY.45,2021-01-09,8495
AY.46,2020-06-01,13995
AY.46.1,2021-05-18,1537
AY.46.2,2021-03-09,1779
AY.46.3,2021-04-04,1604
AY.46.4,2021-01-07,6319
AY.46.5,2021-02-06,10891
AY.46.6,2020-08-11,26901
AY.46.6.1,2021-10-17,184
AY.47,2020-05-21,39060
AY.48,2021-03-22,1853
AY.49,2021-04-10,248
AY.5,2020-11-15,64552
AY.5.1,2021-06-03,282
