,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
1612,B.1.1.500,B.1.1,2020-04-10,2020-01-04,97,0.0018247632,0.0017391373,0.0020890613,0.0018353463
1613,B.1.1.506,B.1.1,2020-05-14,2020-01-04,131,0.0007534268,0.0006959449,0.0009030279,0.0006950517
1614,B.1.1.507,B.1.1,2020-09-07,2020-01-04,247,0.0002208255,0.0002085711,0.0003638149,0.0002197855
1615,B.1.1.51,B.1.1,2020-03-30,2020-01-04,86,0.0006512493,0.0007198394,0.0013583883,0.0006989903
1616,B.1.1.512,B.1.1,2020-07-21,2020-01-04,199,0.0002740900,0.0002588797,0.0004515693,0.0002727991
1617,B.1.1.513,B.1.1,2020-03-16,2020-01-04,72,0.0007575542,0.0007155147,0.0012480873,0.0007539864
1618,B.1.1.514,B.1.1,2020-05-01,2020-01-04,118,0.0004622364,0.0004365853,0.0007615448,0.0004600595
1619,B.1.1.515,B.1.1,2020-03-16,2020-01-04,72,0.0020017341,0.0032468444,0.0020569817,0.0019325266
1620,B.1.1.516,B.1.1,2020-04-14,2020-01-04,101,0.0005400386,0.0005100699,0.0008897256,0.0005374952
1621,B.1.1.517,B.1.1,2020-11-16,2020-01-04,317,0.0001720628,0.0001625144,0.0002834773,0.0001712524
1622,B.1.1.518,B.1.1,2020-05-23,2020-01-04,140,0.0003895993,0.0003679790,0.0006418735,0.0003877644
1623,B.1.1.519,B.1.1,2020-03-24,2020-01-04,237,0.0003318556,0.0003190438,0.0004763530,0.0003291433
1624,B.1.1.52,B.1.1,2020-04-11,2020-01-04,98,0.0005565704,0.0005256843,0.0009169621,0.0005539492
1625,B.1.1.521,B.1.1,2020-05-15,2020-01-04,132,0.0004378301,0.0004295061,0.0008580524,0.0005208018
1626,B.1.1.522,B.1.1,2021-02-08,2020-01-04,401,0.0002178764,0.0002012116,0.0003465474,0.0002291182
1627,B.1.1.523,B.1.1,2021-01-02,2020-01-04,364,0.0003543602,0.0003919342,0.0004434249,0.0004030117
1628,B.1.1.524,B.1.1,2020-11-14,2020-01-04,315,0.0004674608,0.0004598310,0.0005756770,0.0004617637
1629,B.1.1.525,B.1.1,2021-01-05,2020-01-04,367,0.0005785066,0.0005442787,0.0005869993,0.0005505654
1630,B.1.1.526,B.1.1,2020-08-31,2020-01-04,240,0.0002272663,0.0002146544,0.0003744262,0.0002261959
1631,B.1.1.528,B.1.1,2020-12-07,2020-01-04,338,0.0002546323,0.0002379250,0.0003546401,0.0002525824
