Lineage,MIN(collection_date),counts
B.1.177.42,2020-10-26,904
B.1.177.43,2020-08-17,646
B.1.177.44,2020-08-07,1845
B.1.177.45,2020-09-12,2621
B.1.177.46,2020-10-29,1109
B.1.177.47,2020-11-26,59
B.1.177.48,2020-09-24,317
B.1.177.49,2020-09-11,27
B.1.177.5,2020-08-29,802
B.1.177.50,2020-08-17,215
B.1.177.51,2020-10-01,224
B.1.177.52,2020-08-18,563
B.1.177.53,2020-08-03,367
B.1.177.54,2020-08-17,1634
B.1.177.55,2020-08-28,427
B.1.177.56,2020-08-12,1486
B.1.177.57,2020-06-02,3469
B.1.177.58,2020-09-25,758
B.1.177.59,2020-09-05,57
B.1.177.6,2020-07-07,924
B.1.177.60,2020-08-17,5343
B.1.177.61,2020-09-24,25
B.1.177.62,2020-10-02,807
B.1.177.63,2020-10-13,381
B.1.177.64,2020-12-29,13
B.1.177.65,2020-08-06,1491
B.1.177.66,2020-10-23,24
B.1.177.67,2020-11-05,128
B.1.177.68,2020-12-27,65
B.1.177.69,2020-09-16,571
B.1.177.7,2020-03-21,5932
B.1.177.70,2020-11-09,162
B.1.177.71,2020-09-21,100
B.1.177.72,2020-11-07,304
B.1.177.73,2020-04-12,1254
B.1.177.74,2020-10-25,74
B.1.177.75,2020-09-02,949
B.1.177.76,2020-10-01,403
B.1.177.77,2020-03-31,1396
B.1.177.78,2020-10-23,102
B.1.177.8,2020-08-31,1310
B.1.177.80,2020-10-21,538
B.1.177.81,2020-05-10,5161
B.1.177.82,2020-08-26,2207
B.1.177.83,2020-08-25,667
B.1.177.84,2020-09-16,144
B.1.177.85,2020-10-23,185
B.1.177.86,2020-09-21,5404
B.1.177.87,2020-08-25,1316
B.1.177.88,2020-12-26,71
B.1.177.89,2020-11-21,46
B.1.177.9,2020-09-02,678
B.1.178,2020-03-15,39
B.1.179,2020-03-09,292
B.1.180,2020-04-06,21
B.1.181,2020-04-20,48
B.1.182,2020-03-13,138
B.1.184,2020-06-18,14
B.1.187,2020-03-28,29
B.1.188,2020-07-17,59
B.1.189,2020-04-14,271
B.1.190,2020-03-13,87
B.1.192,2020-04-21,220
B.1.194,2020-05-23,27
B.1.195,2020-03-17,210
B.1.198,2020-04-03,15
B.1.199,2020-03-16,201
B.1.2,2020-01-04,146554
B.1.201,2020-03-06,177
B.1.203,2020-07-05,21
B.1.205,2020-03-05,43
B.1.206,2020-04-09,1252
B.1.208,2020-03-15,23
B.1.210,2020-03-10,406
B.1.211,2020-03-04,38
B.1.212,2020-03-03,70
B.1.213,2020-05-10,66
B.1.214,2020-04-18,97
B.1.214.1,2020-12-05,50
B.1.214.2,2020-05-11,1737
B.1.214.3,2020-12-14,132
B.1.214.4,2021-01-25,110
B.1.215,2020-03-14,104
B.1.218,2020-07-20,195
B.1.219,2020-03-22,97
B.1.22,2020-03-05,735
B.1.22.1,2020-09-07,39
B.1.220,2020-03-14,92
B.1.221,2020-02-02,13780
B.1.221.1,2020-08-18,340
B.1.221.2,2020-03-21,253
B.1.221.3,2020-09-14,1201
B.1.221.4,2020-09-30,271
B.1.222,2020-02-24,595
B.1.223,2020-02-28,336
B.1.224,2020-03-16,45
B.1.225,2020-03-19,65
B.1.227,2020-03-16,21
B.1.229,2020-03-19,107
B.1.23,2020-03-18,158
B.1.231,2020-03-19,31
B.1.232,2020-04-06,2231
B.1.233,2020-06-16,74
B.1.234,2020-05-22,8763
B.1.235,2020-06-08,394
B.1.236,2020-04-15,551
B.1.237,2020-04-24,246
B.1.238,2020-05-14,67
B.1.239,2020-04-09,1045
B.1.240,2020-03-22,7121
B.1.240.1,2020-08-04,40
B.1.240.2,2020-08-24,33
B.1.241,2020-04-15,1654
B.1.242,2020-04-21,53
B.1.243,2020-03-23,16641
B.1.243.1,2020-12-15,51
B.1.243.2,2021-05-10,72
B.1.245,2020-03-24,36
B.1.247,2020-05-04,45
B.1.248,2020-03-28,38
B.1.249,2020-04-11,13
B.1.250,2020-03-12,72
B.1.251,2020-06-01,46
B.1.252,2020-03-27,148
B.1.254,2020-04-06,40
B.1.256,2020-03-22,58
B.1.258,2020-03-22,15803
B.1.258.10,2020-09-17,87
B.1.258.11,2020-07-01,2481
B.1.258.12,2020-09-20,121
B.1.258.14,2020-10-06,807
B.1.258.15,2020-11-10,50
B.1.258.16,2020-11-23,616
B.1.258.17,2020-08-28,10016
B.1.258.18,2020-10-05,11
B.1.258.19,2020-11-23,141
B.1.258.2,2020-07-03,222
B.1.258.20,2020-09-23,61
B.1.258.21,2020-10-08,121
B.1.258.22,2020-12-07,373
B.1.258.23,2020-11-18,43
B.1.258.24,2020-11-25,179
B.1.258.3,2020-07-06,592
B.1.258.4,2020-09-03,269
B.1.258.5,2020-09-09,113
B.1.258.6,2020-09-10,49
B.1.258.7,2020-08-29,514
B.1.258.9,2020-08-31,202
B.1.260,2020-03-24,178
B.1.263,2020-03-19,22
B.1.264,2020-03-13,80
B.1.264.1,2020-08-26,28
B.1.265,2020-03-15,864
B.1.267,2020-03-24,54
B.1.268,2020-03-18,98
B.1.270,2020-03-18,36
B.1.273,2020-03-13,61
B.1.274,2020-04-13,86
B.1.276,2020-03-22,44
B.1.277,2020-03-04,42
B.1.279,2020-03-15,1986
B.1.280,2020-06-27,94
B.1.281,2020-04-08,43
B.1.282,2020-06-01,67
B.1.284,2020-03-16,54
B.1.285,2020-06-10,13
B.1.287,2020-05-13,33
B.1.289,2020-03-29,416
B.1.291,2020-04-21,81
B.1.292,2020-03-29,18
B.1.293,2020-03-16,81
B.1.294,2020-06-16,80
B.1.298,2020-03-20,487
B.1.3,2020-03-30,580
B.1.301,2020-03-29,194
B.1.302,2020-03-12,80
B.1.304,2020-05-05,47
B.1.305,2020-06-04,601
B.1.306,2020-06-03,190
B.1.308,2020-03-18,141
B.1.309,2020-04-26,23
B.1.310,2020-04-01,14
B.1.311,2020-03-31,4072
B.1.313,2020-04-01,199
B.1.314,2020-03-13,142
B.1.315,2020-03-25,272
B.1.316,2020-04-29,7
B.1.318,2020-06-22,26
B.1.319,2020-03-05,363
B.1.320,2020-03-07,823
B.1.321,2020-03-09,29
B.1.323,2020-03-13,106
B.1.324,2020-03-15,800
B.1.325,2020-05-27,146
B.1.326,2020-04-25,76
B.1.328,2020-05-23,30
B.1.329,2020-03-18,1664
B.1.330,2020-03-24,101
B.1.332,2020-03-07,337
B.1.333,2020-03-17,96
B.1.334,2020-03-20,63
B.1.335,2020-04-28,104
B.1.336,2020-03-13,414
B.1.337,2020-07-03,295
B.1.338,2020-03-16,132
B.1.340,2020-05-19,244
B.1.341,2020-04-25,43
B.1.342,2020-05-23,9
B.1.343,2020-03-09,47
B.1.344,2020-03-12,123
B.1.346,2020-06-27,829
B.1.348,2020-10-07,56
B.1.349,2020-06-05,1488
B.1.35,2020-03-20,118
B.1.350,2020-03-13,302
B.1.350.1,2020-05-25,7
B.1.351,2020-02-18,36841
B.1.351.1,2020-11-24,54
B.1.351.2,2020-11-03,3647
B.1.351.3,2021-01-24,1241
B.1.351.5,2020-05-10,1508
B.1.354,2020-03-12,16
B.1.355,2020-05-09,92
B.1.356,2020-02-28,546
B.1.357,2020-05-21,108
B.1.358,2020-04-01,20
B.1.359,2020-03-09,45
B.1.36,2020-02-16,7697
B.1.36.1,2020-01-10,876
B.1.36.10,2020-04-24,150
B.1.36.12,2020-06-12,105
B.1.36.16,2020-05-03,782
B.1.36.17,2020-07-16,1983
B.1.36.18,2020-06-05,1879
B.1.36.19,2020-06-17,111
B.1.36.2,2020-09-27,87
B.1.36.20,2020-08-20,62
B.1.36.21,2020-10-07,472
B.1.36.22,2020-06-04,834
B.1.36.23,2020-05-08,62
B.1.36.24,2020-06-04,157
B.1.36.25,2020-10-12,463
B.1.36.26,2020-08-26,279
B.1.36.27,2020-09-18,50
B.1.36.28,2020-09-09,175
B.1.36.29,2020-06-27,2624
B.1.36.31,2020-03-08,536
B.1.36.33,2020-05-23,131
B.1.36.34,2020-06-10,43
B.1.36.35,2020-09-25,390
B.1.36.36,2020-09-05,2052
B.1.36.37,2020-10-06,408
B.1.36.38,2020-06-08,430
B.1.36.39,2020-09-21,277
B.1.36.7,2020-08-17,296
B.1.36.8,2020-04-11,936
B.1.36.9,2020-04-21,311
B.1.360,2020-03-17,98
B.1.361,2020-04-15,983
B.1.362,2020-04-03,713
B.1.362.1,2020-09-19,15
B.1.362.2,2020-09-01,213
B.1.363,2020-06-19,93
B.1.366,2020-04-27,221
B.1.367,2020-07-13,980
B.1.369,2020-03-11,4569
B.1.369.1,2020-12-29,44
B.1.37,2020-03-10,72
B.1.370,2020-03-19,127
B.1.371,2020-03-08,871
B.1.372,2020-03-30,91
B.1.375,2020-09-14,1036
B.1.377,2020-04-04,280
B.1.378,2020-03-14,214
B.1.379,2020-03-16,77
B.1.38,2020-03-17,31
B.1.380,2020-03-04,135
B.1.381,2020-04-14,152
B.1.382,2020-03-16,285
B.1.383,2020-03-01,115
B.1.384,2020-03-15,343
B.1.385,2020-06-22,93
B.1.387,2020-03-06,34
B.1.388,2020-06-10,9
B.1.389,2020-04-12,820
B.1.39,2020-03-09,251
B.1.390,2020-03-25,100
B.1.391,2020-03-09,908
B.1.393,2020-05-29,40
B.1.395,2020-03-06,148
B.1.396,2020-06-10,1577
B.1.397,2020-04-07,234
B.1.398,2020-01-10,537
B.1.399,2020-04-26,548
B.1.40,2020-03-18,51
B.1.400,2020-04-15,3068
B.1.400.1,2020-11-09,66
B.1.401,2020-06-04,161
B.1.402,2020-06-19,162
B.1.403,2020-04-07,321
B.1.404,2020-07-06,1077
B.1.405,2020-04-30,94
B.1.406,2020-07-06,169
B.1.407,2020-06-09,28
B.1.408,2020-05-12,278
B.1.409,2020-09-23,1333
B.1.411,2020-10-03,284
B.1.413,2020-03-12,279
B.1.415,2020-03-16,67
B.1.415.1,2021-05-07,126
B.1.416,2020-04-03,827
B.1.416.1,2020-07-24,629
B.1.417,2020-04-02,23
B.1.418,2020-04-24,63
B.1.420,2020-03-11,115
B.1.421,2020-07-15,145
B.1.422,2020-03-13,548
B.1.423,2020-07-01,98
B.1.424,2020-03-16,126
B.1.425,2020-05-07,361
B.1.426,2020-04-06,1251
B.1.427,2020-04-11,24481
B.1.428,2020-03-03,1165
B.1.428.1,2020-05-07,32
B.1.428.2,2020-04-07,44
B.1.428.3,2020-06-03,84
B.1.429,2020-01-26,51135
B.1.429.1,2020-11-28,51
B.1.431,2020-03-30,25
B.1.432,2020-04-25,85
B.1.433,2020-09-10,321
B.1.434,2020-03-22,16
B.1.435,2020-04-10,95
B.1.436,2020-07-08,1156
B.1.437,2020-06-03,47
B.1.438,2020-01-10,155
B.1.438.1,2020-09-16,9892
B.1.438.2,2021-01-06,52
B.1.438.3,2020-12-09,14
B.1.438.4,2020-09-28,75
B.1.439,2020-03-13,172
B.1.44,2020-03-23,120
B.1.441,2020-03-13,106
B.1.442,2020-03-12,32
B.1.443,2020-01-17,693
B.1.444,2020-05-21,68
B.1.445,2020-04-05,104
B.1.446,2020-03-13,49
B.1.448,2020-04-15,453
B.1.450,2020-03-14,99
B.1.451,2020-04-09,119
B.1.452,2020-05-12,80
B.1.453,2020-03-17,374
B.1.456,2020-02-20,67
B.1.458,2020-05-25,9
B.1.459,2020-03-18,269
B.1.460,2020-09-10,47
B.1.462,2020-04-20,44
B.1.463,2020-09-10,123
B.1.465,2020-03-10,258
B.1.466,2020-04-30,43
B.1.466.1,2020-05-26,149
B.1.466.2,2020-08-06,3077
B.1.467,2020-05-17,26
B.1.468,2020-02-13,182
B.1.469,2020-08-21,267
B.1.470,2020-04-09,788
B.1.471,2020-03-25,376
B.1.473,2020-03-08,53
B.1.474,2020-09-21,508
B.1.475,2020-04-05,7
B.1.476,2020-03-29,6
B.1.478,2020-05-10,121
B.1.479,2020-03-25,26
B.1.480,2020-07-03,428
B.1.482,2020-03-17,13
B.1.483,2020-03-15,12
B.1.485,2020-03-25,59
B.1.486,2020-04-28,9
B.1.487,2020-05-24,58
B.1.488,2020-07-13,6
B.1.489,2020-03-26,21
B.1.490,2020-04-20,10
B.1.491,2020-03-14,17
B.1.492,2020-02-02,141
B.1.493,2020-04-03,43
B.1.494,2020-03-12,32
B.1.495,2020-04-19,117
B.1.496,2020-03-15,32
B.1.497,2020-05-05,3160
B.1.498,2020-04-27,47
B.1.499,2020-01-01,1063
B.1.499.1,2020-11-30,6
B.1.500,2020-08-10,10
B.1.501,2020-04-27,140
B.1.502,2020-04-11,20
B.1.503,2020-04-01,408
B.1.504,2020-04-19,32
B.1.505,2020-03-15,296
B.1.506,2020-04-20,37
B.1.507,2020-03-15,111
B.1.508,2020-04-28,40
B.1.509,2020-04-18,1268
B.1.510,2020-03-06,20
B.1.511,2020-05-02,27
B.1.513,2020-03-09,75
B.1.515,2020-04-17,66
B.1.516,2020-03-11,542
B.1.517,2020-04-26,2455
B.1.517.1,2020-12-02,189
B.1.518,2020-03-21,91
B.1.520,2020-03-25,37
B.1.521,2020-03-21,217
B.1.523,2020-03-29,405
B.1.524,2020-09-01,730
B.1.525,2020-03-25,9667
B.1.526,2020-01-28,43744
B.1.527,2020-03-18,258
B.1.528,2020-04-23,21
B.1.529,2020-04-02,20
B.1.530,2020-07-17,174
B.1.531,2020-11-18,13
B.1.532,2020-07-04,161
B.1.533,2020-03-24,87
B.1.534,2020-11-02,81
B.1.535,2020-03-25,33
B.1.536,2020-10-16,55
B.1.537,2020-05-24,51
B.1.538,2020-05-16,112
B.1.539,2020-10-25,67
B.1.540,2020-03-27,86
B.1.541,2020-07-01,236
B.1.542,2020-03-24,31
B.1.543,2020-08-30,104
B.1.544,2020-06-25,193
B.1.545,2020-03-23,66
B.1.546,2020-05-23,278
B.1.547,2020-03-13,59
B.1.548,2020-05-29,29
B.1.549,2020-05-11,237
B.1.550,2020-10-03,71
B.1.551,2020-08-20,1052
B.1.552,2020-03-30,67
B.1.554,2020-04-21,98
B.1.555,2020-03-11,44
B.1.556,2020-06-10,137
B.1.557,2020-04-06,20
B.1.558,2020-04-06,279
B.1.559,2020-03-29,41
B.1.560,2020-05-13,1362
B.1.561,2020-06-18,3110
B.1.562,2020-10-10,52
B.1.563,2020-12-06,74
B.1.564,2020-03-11,3602
B.1.564.1,2020-08-23,372
B.1.565,2020-06-18,1947
B.1.566,2020-03-16,101
B.1.567,2020-03-23,306
B.1.568,2020-10-05,932
B.1.569,2020-07-21,77
B.1.570,2020-05-26,442
B.1.571,2020-06-01,105
B.1.572,2020-04-02,41
B.1.573,2020-06-24,166
B.1.574,2020-06-07,459
B.1.575,2020-10-23,3467
B.1.575.1,2020-11-19,392
B.1.575.2,2021-05-19,212
B.1.576,2020-03-25,946
B.1.577,2020-03-20,1573
B.1.578,2020-03-17,61
B.1.579,2020-04-05,95
B.1.580,2020-07-20,82
B.1.581,2020-03-22,105
B.1.582,2020-05-27,2272
B.1.585,2020-10-13,35
B.1.586,2020-03-12,91
B.1.587,2020-04-23,671
B.1.588,2020-08-05,1294
B.1.588.1,2020-11-28,26
B.1.589,2020-03-15,132
B.1.590,2020-03-15,207
B.1.591,2020-08-17,144
B.1.592,2020-03-30,24
B.1.593,2020-07-17,88
B.1.594,2020-03-27,29
B.1.595,2020-03-09,4577
B.1.595.1,2020-05-16,174
B.1.595.2,2020-06-14,33
B.1.595.3,2020-06-27,39
B.1.595.4,2020-04-20,282
B.1.596,2020-04-11,2951
B.1.596.1,2020-10-02,66
B.1.597,2020-03-24,146
B.1.598,2020-03-30,65
B.1.599,2020-05-20,324
B.1.6,2020-03-05,59
B.1.600,2020-04-07,150
B.1.601,2020-10-19,35
B.1.602,2020-07-07,206
B.1.603,2020-11-10,101
B.1.604,2020-07-28,77
B.1.605,2020-05-12,186
B.1.606,2020-05-21,160
B.1.607,2020-03-29,19
B.1.609,2020-03-10,2129
B.1.610,2020-06-11,279
B.1.611,2020-06-09,28
B.1.612,2020-03-11,793
B.1.613,2020-04-06,37
B.1.614,2020-06-15,8
B.1.615,2020-07-26,31
B.1.616,2021-01-29,37
B.1.617,2021-02-25,1
B.1.617.1,2020-03-03,9978
B.1.617.2,2020-03-27,232176
B.1.617.3,2021-01-03,326
B.1.618,2020-10-25,230
B.1.619,2020-03-10,1127
B.1.619.1,2021-02-22,1631
B.1.620,2020-04-05,1376
B.1.621,2020-09-19,13191
B.1.621.1,2021-04-09,2005
B.1.621.2,2021-04-11,853
B.1.622,2021-01-19,75
B.1.623,2020-07-08,1867
B.1.625,2020-06-03,493
B.1.626,2021-04-15,270
B.1.627,2021-01-09,511
B.1.629,2021-02-23,71
B.1.630,2021-03-17,200
B.1.631,2020-12-16,318
B.1.632,2021-04-19,162
B.1.633,2021-03-17,15
B.1.634,2021-03-02,306
B.1.635,2021-01-16,58
B.1.636,2020-03-23,119
B.1.637,2020-05-29,14153
B.1.637.1,2021-09-21,79
B.1.638,2021-05-24,13
B.1.639,2021-01-19,54
B.1.640.1,2021-01-01,1131
B.1.640.2,2021-09-13,57
B.1.641,2021-11-03,3
B.1.67,2020-03-23,24
B.1.69,2020-03-06,27
B.1.70,2020-03-13,36
B.1.76,2020-02-24,90
B.1.77,2020-05-18,24
B.1.78,2020-03-12,115
B.1.8,2020-03-04,606
B.1.81,2020-03-18,48
B.1.83,2020-03-20,64
B.1.84,2020-03-31,48
B.1.9,2020-03-04,161
B.1.9.1,2020-03-31,31
B.1.9.2,2020-04-20,11
B.1.9.3,2020-03-17,27
B.1.9.4,2020-03-21,205
B.1.9.5,2020-03-14,162
B.1.91,2020-02-21,476
B.1.93,2020-03-06,1096
B.1.94,2020-03-15,33
B.1.96,2020-04-01,42
B.1.97,2020-03-24,40
B.10,2020-03-12,126
B.11,2020-02-27,222
B.12,2020-01-20,134
B.13,2020-04-03,21
B.15,2020-03-11,56
B.18,2020-03-16,23
B.19,2020-03-29,27
B.20,2020-03-31,43
B.23,2020-02-28,328
B.26,2020-03-17,67
B.27,2020-03-03,64
B.28,2020-03-06,308
B.29,2020-02-27,279
B.3,2020-02-23,1161
B.3.1,2020-01-21,615
B.30,2020-03-09,71
B.31,2020-03-03,271
B.32,2020-03-13,37
B.33,2020-03-03,47
B.34,2020-03-13,74
B.35,2020-03-05,122
B.36,2020-03-17,10
B.37,2020-03-12,28
B.38,2020-03-07,42
B.39,2020-02-25,413
B.4,2020-01-18,434
B.4.1,2020-03-22,27
B.4.2,2020-02-25,15
B.4.4,2020-03-10,58
B.4.5,2020-03-09,89
B.4.6,2020-02-29,74
B.4.7,2020-03-14,68
B.4.8,2020-05-17,17
B.40,2020-02-09,2718
B.41,2020-02-06,127
B.42,2020-01-29,26
B.43,2020-01-26,73
B.44,2020-03-17,10
B.45,2020-03-13,261
B.46,2020-03-15,50
B.47,2020-03-06,38
B.49,2020-03-09,20
B.5,2020-02-05,27
B.50,2020-03-14,9
B.51,2020-03-18,21
B.52,2020-03-12,99
B.53,2020-02-07,85
B.55,2020-01-29,249
B.56,2020-03-14,35
B.57,2020-03-02,64
B.58,2020-03-04,92
B.6,2020-01-13,1108
B.6.1,2020-03-11,38
B.6.2,2020-05-23,16
B.6.3,2020-03-10,37
B.6.4,2020-04-18,22
B.6.5,2020-03-19,13
B.6.6,2020-03-10,1013
B.6.8,2020-01-15,178
B.60,2020-03-04,3
B.61,2020-02-09,177
BA.1,2020-01-05,461861
BA.1.1,2020-06-11,1026532
BA.1.1.1,2020-10-29,63268
BA.1.1.10,2021-11-29,3781
BA.1.1.11,2021-01-01,4152
BA.1.1.12,2021-12-06,4151
BA.1.1.13,2021-11-30,8481
BA.1.1.14,2020-12-10,19937
BA.1.1.15,2021-04-29,17263
BA.1.1.16,2021-12-02,4631
BA.1.1.17,2021-01-12,633
BA.1.1.18,2020-10-22,70052
BA.1.1.2,2021-01-06,60162
BA.1.1.3,2021-11-28,412
BA.1.1.4,2021-12-13,2038
BA.1.1.5,2021-12-12,395
BA.1.1.6,2021-11-29,890
BA.1.1.7,2021-12-08,1054
BA.1.1.8,2021-11-26,1026
BA.1.1.9,2021-12-12,1523
BA.1.10,2021-11-24,2458
BA.1.12,2021-11-22,2807
BA.1.13,2021-11-16,4650
BA.1.13.1,2021-12-12,3691
BA.1.14,2021-01-10,10676
BA.1.14.1,2021-12-06,4623
BA.1.14.2,2021-11-30,883
BA.1.15,2020-05-30,185016
BA.1.15.1,2021-01-01,42678
BA.1.15.2,2021-12-12,2257
BA.1.15.3,2021-11-28,227
BA.1.16,2021-02-05,13741
BA.1.16.1,2022-01-03,122
BA.1.16.2,2021-12-21,99
BA.1.17,2021-01-04,71904
BA.1.17.1,2021-12-05,533
BA.1.17.2,2020-10-23,199938
BA.1.18,2021-01-01,61471
BA.1.19,2020-08-20,4077
BA.1.2,2021-12-22,138
BA.1.20,2020-09-13,38773
BA.1.21,2021-01-09,6716
BA.1.21.1,2021-01-03,1077
BA.1.22,2021-12-27,92
BA.1.23,2022-02-06,16
BA.1.24,2022-02-17,8
BA.1.3,2021-12-01,423
BA.1.4,2021-11-26,705
BA.1.5,2021-07-14,554
BA.1.6,2021-12-01,747
BA.1.7,2021-12-01,706
BA.1.8,2021-12-08,903
BA.1.9,2021-11-26,1050
BA.2,2020-03-28,1225753
BA.2.1,2021-12-08,16170
BA.2.10,2020-04-03,64668
BA.2.10.1,2021-12-23,8830
BA.2.10.2,2021-12-30,2101
BA.2.10.3,2021-12-26,238
BA.2.10.4,2022-04-20,68
BA.2.11,2022-02-01,1248
BA.2.12,2021-12-06,8007
BA.2.12.1,2020-04-15,280205
BA.2.12.2,2022-02-05,1507
BA.2.13,2022-01-11,5386
BA.2.13.1,2022-04-09,1161
BA.2.14,2022-01-13,1623
BA.2.15,2022-01-03,334
BA.2.16,2021-12-20,548
BA.2.17,2021-12-29,571
BA.2.18,2021-11-15,12311
BA.2.19,2021-12-03,616
BA.2.2,2022-01-04,4929
BA.2.2.1,2022-01-14,51
BA.2.20,2022-01-07,1641
BA.2.21,2022-01-24,2230
BA.2.22,2022-01-30,2001
BA.2.23,2020-10-11,18021
BA.2.23.1,2021-12-30,1065
BA.2.24,2022-01-25,8392
BA.2.25,2022-01-03,830
BA.2.25.1,2022-02-08,120
BA.2.26,2022-02-06,1464
BA.2.27,2021-12-21,327
BA.2.28,2022-01-13,157
BA.2.29,2022-01-02,6914
BA.2.3,2020-09-24,113194
BA.2.3.1,2021-12-28,11110
BA.2.3.10,2022-02-17,862
BA.2.3.11,2022-01-01,2462
BA.2.3.12,2022-02-08,1320
BA.2.3.13,2021-12-29,6776
BA.2.3.14,2022-01-14,1226
BA.2.3.15,2022-01-07,1789
BA.2.3.16,2021-05-06,544
BA.2.3.17,2022-01-11,2330
BA.2.3.18,2022-01-19,693
BA.2.3.19,2022-04-16,75
BA.2.3.2,2022-01-13,2450
BA.2.3.4,2022-01-24,1123
BA.2.3.5,2022-01-07,385
BA.2.3.6,2021-12-31,1347
BA.2.3.7,2022-03-08,1977
BA.2.3.8,2022-02-10,268
BA.2.3.9,2021-12-31,559
BA.2.30,2022-01-18,304
BA.2.31,2022-01-12,3171
BA.2.32,2021-12-27,1602
BA.2.33,2022-01-29,829
BA.2.34,2021-12-21,473
BA.2.35,2022-01-14,429
BA.2.36,2021-11-15,13416
BA.2.37,2021-10-07,8446
BA.2.38,2020-06-30,9411
BA.2.38.1,2022-01-22,1103
BA.2.38.2,2021-11-02,588
BA.2.38.3,2022-04-03,133
BA.2.39,2022-01-17,723
BA.2.4,2021-12-30,522
BA.2.40,2022-02-06,101
BA.2.40.1,2022-01-08,2607
BA.2.41,2022-01-31,1545
BA.2.42,2022-03-12,1450
BA.2.43,2022-03-03,594
BA.2.44,2021-11-15,1020
BA.2.45,2022-01-01,1014
BA.2.46,2022-03-02,154
BA.2.47,2022-01-13,1292
BA.2.48,2022-01-19,2249
BA.2.49,2022-01-10,1637
BA.2.5,2022-01-07,3469
BA.2.50,2022-01-21,790
BA.2.51,2021-12-28,513
BA.2.52,2021-11-15,1571
BA.2.53,2022-03-08,503
BA.2.54,2021-11-15,773
BA.2.55,2022-02-13,276
BA.2.56,2021-06-30,4949
BA.2.56.1,2022-03-27,131
BA.2.57,2022-01-08,603
BA.2.58,2021-06-30,455
BA.2.59,2022-03-02,398
BA.2.6,2021-11-15,3204
BA.2.60,2022-04-07,188
BA.2.61,2022-02-14,488
BA.2.62,2022-01-20,695
BA.2.63,2022-01-18,320
BA.2.64,2022-01-02,692
BA.2.65,2021-10-11,5114
BA.2.66,2022-01-09,398
BA.2.67,2021-11-09,378
BA.2.68,2022-02-06,1541
BA.2.69,2022-02-28,198
BA.2.7,2021-11-15,4578
BA.2.70,2022-02-05,457
BA.2.71,2022-01-29,555
BA.2.72,2021-12-12,1060
BA.2.73,2021-12-26,872
BA.2.74,2022-01-01,1776
BA.2.75,2021-12-31,9293
BA.2.75.1,2022-06-09,1027
BA.2.75.2,2022-07-04,423
BA.2.75.3,2022-06-17,80
BA.2.75.4,2022-07-24,9
BA.2.75.5,2022-07-29,69
BA.2.76,2021-12-31,5909
BA.2.76.1,2022-06-19,85
BA.2.76.2,2022-06-23,69
BA.2.77,2022-05-01,55
BA.2.78,2021-10-20,475
BA.2.79,2022-03-14,315
BA.2.79.1,2022-05-05,92
BA.2.8,2022-02-05,6782
BA.2.80,2022-05-04,25
BA.2.81,2022-03-04,623
BA.2.82,2022-04-28,185
BA.2.9,2020-07-21,206074
BA.2.9.1,2022-02-10,778
BA.2.9.2,2022-01-23,1063
BA.2.9.3,2020-07-01,4130
BA.2.9.4,2022-02-12,817
BA.2.9.5,2021-12-31,2633
BA.2.9.6,2022-03-01,478
BA.3,2021-05-05,1191
BA.3.1,2021-12-23,280
BA.4,2020-07-02,37792
BA.4.1,2020-10-14,62083
BA.4.1.1,2022-02-25,2825
BA.4.1.2,2022-04-19,263
BA.4.1.3,2022-01-15,349
BA.4.1.4,2022-05-12,931
BA.4.1.5,2022-04-24,712
BA.4.1.6,2022-04-20,1473
BA.4.1.7,2022-05-22,86
BA.4.1.8,2022-01-17,1200
BA.4.2,2022-01-19,3769
BA.4.3,2020-10-13,176
BA.4.4,2020-07-20,6898
BA.4.5,2022-03-25,1130
BA.4.6,2020-07-20,32998
BA.4.7,2020-07-25,1187
BA.4.8,2022-03-08,71
BA.5,2020-07-01,24798
BA.5.1,2020-03-14,241416
BA.5.1.1,2022-02-20,11082
BA.5.1.10,2020-03-31,8073
BA.5.1.11,2022-05-28,545
BA.5.1.12,2022-02-08,726
BA.5.1.13,2022-05-30,97
BA.5.1.14,2022-05-13,42
BA.5.1.2,2022-01-31,5923
BA.5.1.3,2022-02-24,8227
BA.5.1.4,2022-05-25,1230
BA.5.1.5,2022-05-10,3505
BA.5.1.6,2022-01-08,3187
BA.5.1.7,2022-05-15,1273
BA.5.1.8,2022-05-13,608
BA.5.1.9,2022-05-12,744
BA.5.10,2022-03-29,854
BA.5.2,2020-06-30,217294
BA.5.2.1,2020-07-06,234716
BA.5.2.2,2022-04-07,3735
BA.5.2.3,2022-02-27,6344
BA.5.2.4,2022-05-15,350
BA.5.2.5,2022-06-07,162
BA.5.2.6,2022-05-28,1649
BA.5.2.7,2022-01-26,679
BA.5.3,2021-07-05,3602
BA.5.3.1,2020-07-01,9904
BA.5.3.2,2021-12-20,2498
BA.5.3.3,2022-03-18,2268
BA.5.3.4,2021-11-15,886
BA.5.5,2022-01-10,52164
BA.5.5.1,2022-06-04,1044
BA.5.6,2022-01-05,33277
BA.5.6.1,2022-06-09,967
BA.5.6.2,2021-12-14,735
BA.5.7,2022-05-15,713
BA.5.8,2021-02-03,4889
BA.5.9,2022-04-07,3201
BB.2,2021-04-13,397
BC.1,2021-01-13,6185
BC.2,2021-12-15,138
BD.1,2021-03-02,5770
BE.1,2020-06-30,28451
