,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
355,B.1.429,B.1,2020-01-26,2020-01-01,25,0.0042519327,0.0024889736,0.0041896445,0.0025585088
356,B.1.431,B.1,2020-03-30,2020-01-01,89,0.0011878491,0.0006914469,0.0011699551,0.0007114413
357,B.1.432,B.1,2020-04-25,2020-01-01,115,0.0009192919,0.0005351198,0.0009054435,0.0005505937
358,B.1.433,B.1,2020-09-10,2020-01-01,253,0.0004178599,0.0002432363,0.0004115652,0.0002502699
359,B.1.434,B.1,2020-03-22,2020-01-01,81,0.0013051675,0.0007597380,0.0012855062,0.0007817071
360,B.1.435,B.1,2020-04-10,2020-01-01,100,0.0010571857,0.0006153878,0.0010412601,0.0006331827
361,B.1.436,B.1,2020-07-08,2020-01-01,189,0.0005593575,0.0003256020,0.0005509312,0.0003350173
362,B.1.437,B.1,2020-06-03,2020-01-01,154,0.0006864842,0.0003996024,0.0006761429,0.0004111576
363,B.1.438,B.1,2020-01-10,2020-01-01,9,0.0117465073,0.0068376417,0.0115695562,0.0070353636
364,B.1.439,B.1,2020-03-13,2020-01-01,72,0.0014683134,0.0008547052,0.0014461945,0.0008794204
365,B.1.44,B.1,2020-03-23,2020-01-01,82,0.0012892508,0.0007504729,0.0012698293,0.0007721741
366,B.1.441,B.1,2020-03-13,2020-01-01,72,0.0014683134,0.0008547052,0.0014461945,0.0008794204
367,B.1.442,B.1,2020-03-12,2020-01-01,71,0.0014889939,0.0008667433,0.0014665635,0.0008918067
368,B.1.443,B.1,2020-01-17,2020-01-01,16,0.0066074104,0.0038461734,0.0065078753,0.0039573920
369,B.1.444,B.1,2020-05-21,2020-01-01,141,0.0007497771,0.0004364452,0.0007384823,0.0004490658
370,B.1.445,B.1,2020-04-05,2020-01-01,95,0.0011128270,0.0006477766,0.0010960632,0.0006665081
371,B.1.446,B.1,2020-03-13,2020-01-01,72,0.0014683134,0.0008547052,0.0014461945,0.0008794204
372,B.1.448,B.1,2020-04-15,2020-01-01,105,0.0010068435,0.0005860836,0.0009916762,0.0006030312
373,B.1.450,B.1,2020-03-14,2020-01-01,73,0.0014481995,0.0008429969,0.0014263836,0.0008673736
374,B.1.451,B.1,2020-04-09,2020-01-01,99,0.0010678643,0.0006216038,0.0010517778,0.0006395785
375,B.1.452,B.1,2020-05-12,2020-01-01,132,0.0008008982,0.0004662028,0.0007888334,0.0004796839
376,B.1.453,B.1,2020-03-17,2020-01-01,76,0.0013910338,0.0008097207,0.0013700790,0.0008331352
377,B.1.456,B.1,2020-02-20,2020-01-01,50,0.0021143713,0.0012307755,0.0020825201,0.0012663654
378,B.1.458,B.1,2020-05-25,2020-01-01,145,0.0007290936,0.0004244053,0.0007181104,0.0004366777
379,B.1.459,B.1,2020-03-18,2020-01-01,77,0.0013729684,0.0007992049,0.0013522858,0.0008223152
380,B.1.460,B.1,2020-09-10,2020-01-01,253,0.0004178599,0.0002432363,0.0004115652,0.0002502699
381,B.1.462,B.1,2020-04-20,2020-01-01,110,0.0009610779,0.0005594434,0.0009466000,0.0005756207
382,B.1.463,B.1,2020-09-10,2020-01-01,253,0.0004178599,0.0002432363,0.0004115652,0.0002502699
383,B.1.465,B.1,2020-03-10,2020-01-01,69,0.0015321531,0.0008918663,0.0015090725,0.0009176561
384,B.1.466,B.1,2020-04-30,2020-01-01,120,0.0008809880,0.0005128231,0.0008677167,0.0005276523
385,B.1.467,B.1,2020-05-17,2020-01-01,137,0.0007716684,0.0004491881,0.0007600438,0.0004621772
386,B.1.468,B.1,2020-02-13,2020-01-01,43,0.0024585713,0.0014311343,0.0024215350,0.0014725180
387,B.1.469,B.1,2020-08-21,2020-01-01,233,0.0004537278,0.0002641149,0.0004468927,0.0002717522
388,B.1.470,B.1,2020-04-09,2020-01-01,99,0.0010678643,0.0006216038,0.0010517778,0.0006395785
389,B.1.471,B.1,2020-03-25,2020-01-01,84,0.0012585544,0.0007326045,0.0012395953,0.0007537890
390,B.1.473,B.1,2020-03-08,2020-01-01,67,0.0015778890,0.0009184892,0.0015541195,0.0009450488
391,B.1.474,B.1,2020-09-21,2020-01-01,264,0.0004004491,0.0002331014,0.0003944167,0.0002398419
392,B.1.475,B.1,2020-04-05,2020-01-01,95,0.0011128270,0.0006477766,0.0010960632,0.0006665081
