,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
53,AE.7,B.1.1.306,2020-07-09,2020-03-01,130,0.0002647408,0.0001235553,0.0002582553,0.0002700687
54,AE.8,B.1.1.306,2020-07-24,2020-03-01,145,0.0003091789,0.0001349086,0.0002490914,0.0003206011
55,P.1,B.1.1.28,2020-04-07,2020-03-05,201,0.0010158795,0.0012222745,0.0011223781,0.0009941857
56,P.2,B.1.1.28,2020-04-13,2020-03-05,39,0.0051174336,0.0060787808,0.0056417019,0.0046886804
57,P.3,B.1.1.28,2021-01-08,2020-03-05,309,0.0001965914,0.0003223679,0.0002741632,0.0001636909
58,P.4,B.1.1.28,2021-02-17,2020-03-05,349,0.0000991570,0.0002119579,0.0001852619,0.0000800544
59,P.5,B.1.1.28,2021-03-09,2020-03-05,369,0.0000937826,0.0002004697,0.0001752206,0.0000757154
60,P.6,B.1.1.28,2020-12-02,2020-03-05,272,0.0001517741,0.0002960494,0.0002617227,0.0001273036
61,P.7,B.1.1.28,2020-07-01,2020-03-05,118,0.0003566793,0.0006898587,0.0006086878,0.0003010411
62,BK.1,BA.5.1.10,2022-06-03,2020-03-31,800,0.0000000000,0.0000000000,0.0000000000,0.0000000000
63,N.1,B.1.1.33,2020-03-25,2020-03-01,24,0.0077734658,0.0067450282,0.0081222271,0.0064691968
64,N.10,B.1.1.33,2020-12-29,2020-03-01,303,0.0001103986,0.0001850177,0.0002208871,0.0001203333
65,N.2,B.1.1.33,2020-05-16,2020-03-01,76,0.0001865197,0.0004872926,0.0006364620,0.0002276581
66,N.3,B.1.1.33,2020-04-17,2020-03-01,47,0.0003016063,0.0007879626,0.0010291726,0.0003681281
67,N.4,B.1.1.33,2020-03-25,2020-03-01,24,0.0010668554,0.0020557974,0.0025251198,0.0012371654
68,N.5,B.1.1.33,2020-04-25,2020-03-01,55,0.0011358449,0.0015457196,0.0016802441,0.0010839784
69,N.6,B.1.1.33,2020-02-16,2020-03-01,-14,0.0010125356,0.0026453029,0.0034550795,0.0012358585
70,N.7,B.1.1.33,2020-06-18,2020-03-01,109,0.0001300504,0.0003397637,0.0004437717,0.0001587341
71,N.8,B.1.1.33,2020-06-23,2020-03-01,114,0.0001243465,0.0003248618,0.0004243080,0.0001517721
72,N.9,B.1.1.33,2020-09-25,2020-03-01,208,0.0000681514,0.0001780492,0.0002325534,0.0000831828
73,BC.1,BA.1.1.1,2021-01-13,2020-10-29,76,0.0000000000,0.0000000000,0.0000000000,0.0000000000
74,BC.2,BA.1.1.1,2021-12-15,2020-10-29,413,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,BA.5.6.1,BA.5.6,2022-06-09,2022-01-05,155,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,BA.5.6.2,BA.5.6,2021-12-14,2022-01-05,-22,0.0000000000,0.0000000000,0.0000000000,0.0000000000
77,BA.2.25.1,BA.2.25,2022-02-08,2022-01-03,36,0.0000000000,0.0000000000,0.0000000000,0.0000000000
78,B.3.1,B.3,2020-01-21,2020-02-23,-33,0.0012246332,0.0008614738,0.0016713258,0.0005587502
79,R.1,B.1.1.316,2020-01-14,2020-05-17,-124,0.0014130589,0.0013575411,0.0016981727,0.0014926318
80,R.2,B.1.1.316,2021-01-08,2020-05-17,236,0.0002333563,0.0001426309,0.0004715564,0.0002618901
81,B.1.564.1,B.1.564,2020-08-23,2020-03-11,165,0.0002708296,0.0001901672,0.0003791919,0.0001204000
82,B.1.595.1,B.1.595,2020-05-16,2020-03-09,68,0.0011406641,0.0008717844,0.0010533319,0.0009793295
83,B.1.595.2,B.1.595,2020-06-14,2020-03-09,97,0.0007799574,0.0005882168,0.0009236760,0.0006381298
84,B.1.595.3,B.1.595,2020-06-27,2020-03-09,110,0.0006163391,0.0004936978,0.0008716870,0.0005627145
85,B.1.595.4,B.1.595,2020-04-20,2020-03-09,42,0.0018089557,0.0012869337,0.0023994547,0.0014737760
86,BA.1.1.1,BA.1.1,2020-10-29,2020-06-11,519,0.0000000000,0.0000000000,0.0000000000,0.0000000000
87,BA.1.1.10,BA.1.1,2021-11-29,2020-06-11,536,0.0000000000,0.0000000000,0.0000000000,0.0000000000
88,BA.1.1.11,BA.1.1,2021-01-01,2020-06-11,537,0.0000000000,0.0000000000,0.0000000000,0.0000000000
89,BA.1.1.12,BA.1.1,2021-12-06,2020-06-11,543,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,BA.1.1.13,BA.1.1,2021-11-30,2020-06-11,537,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,BA.1.1.14,BA.1.1,2020-12-10,2020-06-11,532,0.0000000000,0.0000000000,0.0000000000,0.0000000000
92,BA.1.1.15,BA.1.1,2021-04-29,2020-06-11,534,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,BA.1.1.16,BA.1.1,2021-12-02,2020-06-11,539,0.0000000000,0.0000000000,0.0000000000,0.0000000000
94,BA.1.1.17,BA.1.1,2021-01-12,2020-06-11,540,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,BA.1.1.18,BA.1.1,2020-10-22,2020-06-11,478,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,BA.1.1.2,BA.1.1,2021-01-06,2020-06-11,543,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,BA.1.1.3,BA.1.1,2021-11-28,2020-06-11,535,0.0000000000,0.0000000000,0.0000000000,0.0000000000
98,BA.1.1.4,BA.1.1,2021-12-13,2020-06-11,550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,BA.1.1.5,BA.1.1,2021-12-12,2020-06-11,549,0.0000000000,0.0000000000,0.0000000000,0.0000000000
100,BA.1.1.6,BA.1.1,2021-11-29,2020-06-11,542,0.0000000000,0.0000000000,0.0000000000,0.0000000000
101,BA.1.1.7,BA.1.1,2021-12-08,2020-06-11,545,0.0000000000,0.0000000000,0.0000000000,0.0000000000
102,BA.1.1.8,BA.1.1,2021-11-26,2020-06-11,533,0.0000000000,0.0000000000,0.0000000000,0.0000000000
103,BA.1.1.9,BA.1.1,2021-12-12,2020-06-11,565,0.0000000000,0.0000000000,0.0000000000,0.0000000000
104,BA.1.16.1,BA.1.16,2022-01-03,2021-02-05,332,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,BA.1.16.2,BA.1.16,2021-12-21,2021-02-05,320,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,B.1.22.1,B.1.22,2020-09-07,2020-03-05,186,0.0005564681,0.0005033970,0.0006042103,0.0005517647
107,B.1.1,B.1,2020-01-04,2020-01-01,3,0.0783469778,0.0633229183,0.0743072475,0.0647093305
108,B.1.103,B.1,2020-03-14,2020-01-01,73,0.0019429362,0.0015321965,0.0018706960,0.0015500699
109,B.1.104,B.1,2020-03-02,2020-01-01,61,0.0030622470,0.0023835726,0.0030327592,0.0024186890
110,B.1.105,B.1,2020-03-06,2020-01-01,65,0.0016264395,0.0009467504,0.0016019385,0.0009741273
111,B.1.106,B.1,2020-04-23,2020-01-01,113,0.0013494937,0.0008638336,0.0012627883,0.0009241819
112,B.1.108,B.1,2020-02-25,2020-01-01,55,0.0024642056,0.0019658062,0.0024430530,0.0020279916
113,B.1.110,B.1,2020-03-02,2020-01-01,61,0.0045469555,0.0041481460,0.0046548321,0.0042020723
114,B.1.111,B.1,2020-03-07,2020-01-01,66,0.0051175141,0.0046794586,0.0048518274,0.0047183844
