,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
1091,BA.5.2.2,BA.5.2,2022-04-07,2020-06-30,671,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1092,BA.5.2.3,BA.5.2,2022-02-27,2020-06-30,607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1093,BA.5.2.4,BA.5.2,2022-05-15,2020-06-30,684,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1094,BA.5.2.5,BA.5.2,2022-06-07,2020-06-30,707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1095,BA.5.2.6,BA.5.2,2022-05-28,2020-06-30,697,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1096,BA.5.2.7,BA.5.2,2022-01-26,2020-06-30,575,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1097,BG.1,BA.2.12.1,2022-04-15,2020-04-15,730,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1098,BG.2,BA.2.12.1,2022-02-26,2020-04-15,682,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1099,BG.3,BA.2.12.1,2022-05-03,2020-04-15,748,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1100,BG.4,BA.2.12.1,2022-05-01,2020-04-15,746,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1101,BG.5,BA.2.12.1,2022-04-09,2020-04-15,724,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1102,BG.6,BA.2.12.1,2022-05-10,2020-04-15,755,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1103,B.1.429.1,B.1.429,2020-11-28,2020-01-26,307,0.0002176957,0.0001914933,0.0003211799,0.0001430327
1104,C.1,B.1.1.1,2020-04-12,2020-03-02,45,0.0007128153,0.0005979331,0.0011521571,0.0006540548
1105,C.10,B.1.1.1,2020-04-22,2020-03-02,51,0.0006289546,0.0005275880,0.0010166092,0.0005771072
1106,C.11,B.1.1.1,2020-04-01,2020-03-02,30,0.0010692229,0.0008968996,0.0017282356,0.0009810822
1107,C.12,B.1.1.1,2020-08-12,2020-03-02,163,0.0001967895,0.0001650736,0.0003180802,0.0001805673
1108,C.13,B.1.1.1,2020-03-29,2020-03-02,27,0.0011880254,0.0009965551,0.0019202618,0.0010900914
1109,C.14,B.1.1.1,2020-03-20,2020-03-02,18,0.0022946758,0.0020095120,0.0033885397,0.0021467250
1110,C.16,B.1.1.1,2020-05-29,2020-03-02,88,0.0004130766,0.0003619671,0.0006447768,0.0003906320
1111,C.17,B.1.1.1,2020-06-02,2020-03-02,92,0.0003486596,0.0002924673,0.0005635551,0.0003199181
1112,C.18,B.1.1.1,2020-07-01,2020-03-02,121,0.0002950716,0.0002523900,0.0004579588,0.0002749659
1113,C.19,B.1.1.1,2020-12-07,2020-03-02,280,0.0001145596,0.0000960964,0.0001851681,0.0001051160
1114,C.2,B.1.1.1,2020-06-09,2020-03-02,99,0.0003240069,0.0002717878,0.0005237078,0.0002972976
1115,C.20,B.1.1.1,2020-10-26,2020-03-02,238,0.0001347760,0.0001130546,0.0002178448,0.0001236658
1116,C.21,B.1.1.1,2020-09-15,2020-03-02,197,0.0001628258,0.0001365837,0.0002631831,0.0001494034
1117,C.22,B.1.1.1,2020-04-03,2020-03-02,32,0.0010023965,0.0008408434,0.0016202209,0.0009197646
1118,C.23,B.1.1.1,2020-05-07,2020-03-02,66,0.0007447241,0.0006662230,0.0010418199,0.0007073768
1119,C.25,B.1.1.1,2020-03-20,2020-03-02,18,0.0017820381,0.0014948327,0.0028803927,0.0016351371
1120,C.26,B.1.1.1,2020-04-28,2020-03-02,57,0.0005627489,0.0004720524,0.0009095977,0.0005163591
1121,C.27,B.1.1.1,2020-04-19,2020-03-02,48,0.0006682643,0.0005605623,0.0010801473,0.0006131764
1122,C.28,B.1.1.1,2020-04-30,2020-03-02,59,0.0005436727,0.0004560507,0.0008787639,0.0004988554
1123,C.29,B.1.1.1,2020-06-25,2020-03-02,115,0.0002789277,0.0002339738,0.0004508441,0.0002559345
1124,C.3,B.1.1.1,2020-05-20,2020-03-02,79,0.0004060340,0.0003405948,0.0006562920,0.0003725629
1125,C.30,B.1.1.1,2020-08-04,2020-03-02,155,0.0002069464,0.0001735935,0.0003344972,0.0001898869
1126,C.31,B.1.1.1,2020-08-11,2020-03-02,162,0.0002619747,0.0002302327,0.0003837174,0.0002457832
1127,C.32,B.1.1.1,2020-05-07,2020-03-02,66,0.0004860104,0.0004076816,0.0007855617,0.0004459465
1128,C.33,B.1.1.1,2020-05-18,2020-03-02,77,0.0008262943,0.0007638290,0.0010797671,0.0007923128
1129,C.34,B.1.1.1,2020-08-06,2020-03-02,157,0.0002043101,0.0001713821,0.0003302361,0.0001874679
1130,C.35,B.1.1.1,2020-04-06,2020-03-02,35,0.0009311206,0.0007834530,0.0014958213,0.0008556007
1131,C.36,B.1.1.1,2020-03-13,2020-03-02,11,0.0078343846,0.0074090756,0.0097253839,0.0077456579
1132,C.37,B.1.1.1,2020-07-21,2020-03-02,141,0.0002411918,0.0002069234,0.0003825521,0.0002262561
1133,C.38,B.1.1.1,2021-02-16,2020-03-02,351,0.0001866835,0.0001791519,0.0002239043,0.0001853850
1134,C.39,B.1.1.1,2021-02-10,2020-03-02,345,0.0000929759,0.0000779913,0.0001502814,0.0000853115
1135,C.4,B.1.1.1,2020-05-19,2020-03-02,78,0.0004112396,0.0003449614,0.0006647060,0.0003773393
1136,C.40,B.1.1.1,2021-02-02,2020-03-02,337,0.0000951830,0.0000798427,0.0001538489,0.0000873367
1137,C.5,B.1.1.1,2020-09-02,2020-03-02,184,0.0001743298,0.0001462336,0.0002817775,0.0001599591
1138,C.6,B.1.1.1,2020-04-18,2020-03-02,47,0.0006824827,0.0005724891,0.0011031291,0.0006262227
1139,C.7,B.1.1.1,2020-05-11,2020-03-02,70,0.0004582384,0.0003843856,0.0007406724,0.0004204638
1140,C.8,B.1.1.1,2020-03-23,2020-03-02,21,0.0015274613,0.0012812852,0.0024689081,0.0014015461
1141,C.9,B.1.1.1,2020-05-20,2020-03-02,121,0.0004403398,0.0003978740,0.0006023165,0.0004186378
1142,B.1.619.1,B.1.619,2021-02-22,2020-03-10,349,0.0006406949,0.0006161442,0.0006741128,0.0006056681
1143,AY.98.1.1,AY.98.1,2021-08-24,2020-11-04,293,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1144,AG.1,B.1.1.297,2020-09-11,2020-07-16,57,0.0013591362,0.0015783505,0.0018424608,0.0017194679
1145,AY.16.1,AY.16,2021-05-04,2020-09-21,225,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1146,BA.1.21.1,BA.1.21,2021-01-03,2021-01-09,275,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1147,BA.2.40.1,BA.2.40,2022-01-08,2022-02-06,5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1148,BA.5.5.1,BA.5.5,2022-06-04,2022-01-10,145,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1149,BA.2.9.1,BA.2.9,2022-02-10,2020-07-21,569,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1150,BA.2.9.2,BA.2.9,2022-01-23,2020-07-21,567,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1151,BA.2.9.3,BA.2.9,2020-07-01,2020-07-21,438,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1152,BA.2.9.4,BA.2.9,2022-02-12,2020-07-21,571,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1153,BA.2.9.5,BA.2.9,2021-12-31,2020-07-21,540,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1154,BA.2.9.6,BA.2.9,2022-03-01,2020-07-21,588,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1155,BA.3.1,BA.3,2021-12-23,2021-05-05,241,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1156,AY.43.1,AY.43,2021-07-19,2020-05-01,444,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1157,AY.43.2,AY.43,2021-07-04,2020-05-01,429,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1158,AY.43.3,AY.43,2021-07-12,2020-05-01,437,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1159,AY.43.4,AY.43,2020-10-28,2020-05-01,180,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1160,AY.43.5,AY.43,2021-10-22,2020-05-01,539,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1161,AY.43.6,AY.43,2021-08-23,2020-05-01,479,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1162,AY.43.7,AY.43,2021-08-31,2020-05-01,487,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1163,AY.43.8,AY.43,2021-01-12,2020-05-01,256,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1164,AY.43.9,AY.43,2021-09-16,2020-05-01,503,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1165,BA.2.75.1,BA.2.75,2022-06-09,2021-12-31,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1166,BA.2.75.2,BA.2.75,2022-07-04,2021-12-31,160,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1167,BA.2.75.3,BA.2.75,2022-06-17,2021-12-31,158,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1168,BA.2.75.4,BA.2.75,2022-07-24,2021-12-31,160,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1169,BA.2.75.5,BA.2.75,2022-07-29,2021-12-31,160,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1170,D.2,B.1.1.25,2020-03-19,2020-03-31,-12,0.0023693119,0.0012581471,0.0048790982,0.0035007902
1171,D.3,B.1.1.25,2020-06-14,2020-03-31,75,0.0003721578,0.0001942922,0.0007744297,0.0005531680
1172,D.4,B.1.1.25,2020-08-13,2020-03-31,135,0.0002067543,0.0001079401,0.0004302387,0.0003073156
1173,D.5,B.1.1.25,2020-10-12,2020-03-31,195,0.0001607567,0.0000924077,0.0003153324,0.0002303028
1174,AA.1,B.1.177.15,2020-08-11,2020-09-01,-21,0.0006359290,0.0003700160,0.0018006772,0.0000981198
1175,AA.2,B.1.177.15,2020-11-14,2020-09-01,74,0.0001804663,0.0001050045,0.0005110030,0.0000278448
1176,AA.3,B.1.177.15,2020-10-21,2020-09-01,50,0.0002670902,0.0001554067,0.0007562844,0.0000412103
1177,AA.4,B.1.177.15,2020-10-22,2020-09-01,51,0.0002618531,0.0001523595,0.0007414553,0.0000404023
1178,AA.5,B.1.177.15,2020-12-05,2020-09-01,95,0.0001405738,0.0000817930,0.0003980444,0.0000216896
1179,AA.6,B.1.177.15,2020-10-13,2020-09-01,42,0.0003179645,0.0001850080,0.0009003386,0.0000490599
1180,AA.7,B.1.177.15,2020-11-04,2020-09-01,64,0.0002086642,0.0001214115,0.0005908472,0.0000321956
1181,AA.8,B.1.177.15,2020-11-25,2020-09-01,85,0.0001571119,0.0000914157,0.0004448732,0.0000242414
1182,BB.2,B.1.621.1,2021-04-13,2021-04-09,4,0.0110645860,0.0071595406,0.0147520221,0.0070807664
1183,B.1.416.1,B.1.416,2020-07-24,2020-04-03,112,0.0005494236,0.0004913415,0.0005917729,0.0002265620
1184,AY.23.1,AY.23,2021-08-22,2020-03-12,528,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1185,AY.23.2,AY.23,2021-01-09,2020-03-12,303,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1186,AY.42.1,AY.42,2021-07-12,2020-10-06,279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1187,AY.122.1,AY.122,2021-01-11,2020-05-11,245,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1188,AY.122.2,AY.122,2021-06-22,2020-05-11,407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1189,AY.122.3,AY.122,2021-10-04,2020-05-11,518,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1190,AY.122.4,AY.122,2021-05-31,2020-05-11,394,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1191,AY.122.5,AY.122,2021-08-08,2020-05-11,454,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1192,AY.122.6,AY.122,2021-09-11,2020-05-11,491,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1193,BJ.1,BA.2.10.1,2022-06-29,2021-12-23,188,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1194,B.1,B,2020-01-01,2019-12-26,6,0.0306197595,0.0300451716,0.0299800439,0.0365477435
1195,B.10,B,2020-03-12,2019-12-26,77,0.0020173268,0.0017198770,0.0018450475,0.0022281839
1196,B.11,B,2020-02-27,2019-12-26,63,0.0025526646,0.0021896678,0.0023424286,0.0028091221
1197,B.12,B,2020-01-20,2019-12-26,25,0.0088324328,0.0071603415,0.0080049302,0.0100953677
1198,B.13,B,2020-04-03,2019-12-26,99,0.0015690320,0.0013376821,0.0014350370,0.0017330319
1199,B.15,B,2020-03-11,2019-12-26,76,0.0020438706,0.0017425070,0.0018693245,0.0022575021
1200,B.18,B,2020-03-16,2019-12-26,81,0.0019177058,0.0016349448,0.0017539341,0.0021181501
1201,B.19,B,2020-03-29,2019-12-26,94,0.0016524911,0.0014088354,0.0015113687,0.0018252145
1202,B.20,B,2020-03-31,2019-12-26,96,0.0016180642,0.0013794847,0.0014798819,0.0017871892
